node,list_compre,set_compre,dict_compre,chain_compare,truth_test,starred,loop_else,ass_multi_tar,for_multi_tar
Await,1.91E-05,0,0,0,4.35E-05,0,0,0.000122365,0
Starred,0,0,0,0,0,0,0,0.000176958,0
List,0.014222525,0,0.011258444,0.000303099,1.92E-05,0.004380215,0.014661721,0,0.010520522
Lambda,0.000302743,0,0.000162622,0,4.05E-06,0,0,0.000112952,0
Compare,0.009764243,0.000219491,0.001651238,0.000303099,0,0,0.043101925,0.000250377,0
Dict,0.017103359,0,0.009231924,3.79E-05,1.01E-05,0,0,0.002964996,4.51E-06
GeneratorExp,2.55E-05,0,1.25E-05,0,3.54E-05,0.010524942,0.002473061,0.001404373,0.000581967
Name,0.165326102,0.225636523,0.535313985,0.491020687,0.449016316,0.751675976,0.287758347,0.104738723,0.108015808
Yield,3.19E-06,0,0,3.79E-05,4.56E-05,0,0,0.001556858,0
UnaryOp,0.00154558,0.000109745,0.000738054,0.000681973,0.236651301,1.86E-05,0.00512277,0.002242102,0
Set,6.69E-05,0,0.000187641,0.000113662,0,0,0.000176647,0,9.02E-06
Constant,0.009493368,0,0.017800851,0.015117072,0,0.001491137,0.003003003,0.050054782,0
YieldFrom,0,0,0,0,3.04E-06,6.21E-06,0,0.000261673,0
BinOp,0.064627563,0.019973661,0.023380035,0.031863302,0.006719918,0.014656635,0.003532945,0.016274534,0.000550388
ListComp,0.01131301,0,0.005291469,0.000189437,0.000312908,0.040304192,0.00194312,0.005084733,0.000712797
DictComp,0.001108994,0,0.002814611,0,0,0,0,4.71E-05,0
Subscript,0.130615874,0.175812116,0.095534151,0.107751762,0.030894814,0.043410727,0.036212683,0.070088743,0.006293366
IfExp,0.022039656,0.008450395,0.016837628,0,0.000316958,0.000689651,0.000176647,0.002483067,0.000157898
BoolOp,0.002065023,0.001536435,0.001200901,0.00015155,0,0.000695864,0.007065889,0.000696539,0.000387978
Call,0.406704313,0.219929763,0.188278709,0.192430098,0,0.074053594,0.427662957,0.681830504,0.840541004
SetComp,6.69E-05,0,0.000587941,7.58E-05,1.01E-06,1.24E-05,0,5.65E-06,4.51E-06
Attribute,0.08680425,0.282813872,0.067800851,0.158823975,0.274638688,0.056228293,0.144850733,0.059429817,0.023337333
JoinedStr,0.009872593,0.007682177,0.008206155,3.79E-05,0,0,0,0.000173193,0
NamedExpr,0,0,0,0,0.001234415,0,0,0,0
Tuple,0.046909158,0.057835821,0.013710283,0.001060847,5.27E-05,0.001851495,0.022257552,0,0.008882894
