repo_name,file_html,cl,me,simple_code,cmplete_code,count_tmp,count_targets,count_star_total,count_tmp_func,
transformers,https://github.com/huggingface/transformers/tree/master/examples/research_projects/jax-projects/model_parallel/run_clm_mp.py,,main$229,"(updates, new_opt_state) = optimizer.update(grads, opt_state, params)","tmp_fun_0 = optimizer.update(grads, opt_state, params)
updates = tmp_fun_0[0]
new_opt_state = tmp_fun_0[1]
",0,0,0,1,
detectron2,https://github.com/facebookresearch/detectron2/tree/master/projects/DensePose/densepose/evaluation/densepose_coco_evaluation.py,DensePoseCocoEval,computeOgps_single_pair$617,"(ipoints, upoints, vpoints) = self.extract_iuv_from_raw(record, gt, py, px, pt_mask)","tmp_fun_0 = self.extract_iuv_from_raw(record, gt, py, px, pt_mask)
ipoints = tmp_fun_0[0]
upoints = tmp_fun_0[1]
vpoints = tmp_fun_0[2]
",0,0,0,1,
baserow,https://github.com/bram2w/baserow/tree/master/backend/tests/baserow/contrib/database/api/views/grid/test_grid_view_views.py,,test_patch_grid_view_field_options$1342,"(user, token) = data_fixture.create_user_and_token(email='test@test.nl', password='password', first_name='Test1')","tmp_fun_0 = data_fixture.create_user_and_token(email='test@test.nl', password='password', first_name='Test1')
user = tmp_fun_0[0]
token = tmp_fun_0[1]
",0,0,0,1,
edx-platform,https://github.com/edx/edx-platform/tree/master/lms/djangoapps/program_enrollments/rest_api/v1/tests/test_views.py,ProgramCourseEnrollmentOverviewGetTests,test_absolute_resume_url_stays_absolute$1844,"(response_status_code, response_course_runs) = self.get_status_and_course_runs()","tmp_fun_0 = self.get_status_and_course_runs()
response_status_code = tmp_fun_0[0]
response_course_runs = tmp_fun_0[1]
",0,0,0,1,
blam,https://github.com/stuffmatic/blam/tree/master/src/blam.py,,solveCubic$374,"(r, w) = polar(u.real, u.imag)","tmp_fun_0 = polar(u.real, u.imag)
r = tmp_fun_0[0]
w = tmp_fun_0[1]
",0,0,0,1,
esim-response-selection,https://github.com/alibaba/esim-response-selection/tree/master/scripts/esim/main.py,,predict_accuracy$400,"(batch_x1, batch_x1_mask, batch_x2, batch_x2_mask, batch_y) = prepare_data(instance)","tmp_fun_0 = prepare_data(instance)
batch_x1 = tmp_fun_0[0]
batch_x1_mask = tmp_fun_0[1]
batch_x2 = tmp_fun_0[2]
batch_x2_mask = tmp_fun_0[3]
batch_y = tmp_fun_0[4]
",0,0,0,1,
PyOne,https://github.com/abbeyokgo/PyOne/tree/master/app/admin/offdownload.py,,off_download$14,"(p, status) = get_aria2()","tmp_fun_0 = get_aria2()
p = tmp_fun_0[0]
status = tmp_fun_0[1]
",0,0,0,1,
pyqtgraph,https://github.com/pyqtgraph/pyqtgraph/tree/master/tests/test_makeARGB.py,,test_makeARGB_with_human_readable_code$4349,"(im2, alpha) = _makeARGB(im1, lut=lut, levels=(512, 2 ** 16 - 256))","tmp_fun_0 = _makeARGB(im1, lut=lut, levels=(512, 2 ** 16 - 256))
im2 = tmp_fun_0[0]
alpha = tmp_fun_0[1]
",0,0,0,1,
great_expectations,https://github.com/great-expectations/great_expectations/tree/master/great_expectations/expectations/metrics/table_metrics/table_head.py,TableHead,_pandas$27,"(df, _, _) = execution_engine.get_compute_domain(metric_domain_kwargs, domain_type=MetricDomainTypes.TABLE)","tmp_fun_0 = execution_engine.get_compute_domain(metric_domain_kwargs, domain_type=MetricDomainTypes.TABLE)
df = tmp_fun_0[0]
_ = tmp_fun_0[1]
_ = tmp_fun_0[2]
",0,0,0,1,
sentry,https://github.com/getsentry/sentry/tree/master/tests/sentry/api/endpoints/test_relay_projectids.py,RelayProjectIdsEndpointTest,setUp$39,"(sk, pk) = generate_key_pair()","tmp_fun_0 = generate_key_pair()
sk = tmp_fun_0[0]
pk = tmp_fun_0[1]
",0,0,0,1,
keras-rcnn,https://github.com/broadinstitute/keras-rcnn/tree/master/tests/layers/object_detection/test_anchor.py,TestAnchor,test_label$26,"(argmax_overlaps_inds, anchor_labels) = anchor_layer._label(gt_boxes, all_inside_anchors, inds_inside)","tmp_fun_0 = anchor_layer._label(gt_boxes, all_inside_anchors, inds_inside)
argmax_overlaps_inds = tmp_fun_0[0]
anchor_labels = tmp_fun_0[1]
",0,0,0,1,
swift,https://github.com/openstack/swift/tree/master/test/unit/common/middleware/s3api/test_s3_acl.py,TestS3ApiS3Acl,test_canned_acl_private$204,"(status, headers, body) = self.call_s3api(req)","tmp_fun_0 = self.call_s3api(req)
status = tmp_fun_0[0]
headers = tmp_fun_0[1]
body = tmp_fun_0[2]
",0,0,0,1,
deepvariant,https://github.com/google/deepvariant/tree/master/deepvariant/modeling.py,DeepVariantSmallModel,_create$1542,"(_, endpoints) = inception_v3.inception_v3(images, num_classes, create_aux_logits=False, is_training=is_training)","tmp_fun_0 = inception_v3.inception_v3(images, num_classes, create_aux_logits=False, is_training=is_training)
_ = tmp_fun_0[0]
endpoints = tmp_fun_0[1]
",0,0,0,1,
holoviews,https://github.com/holoviz/holoviews/tree/master/holoviews/tests/core/test_collation.py,TestCollation,setUp$13,"(alphas, betas, deltas) = (2, 2, 2)","alphas = 2
betas = 2
deltas = 2
",0,0,0,0,
matplotlib,https://github.com/matplotlib/matplotlib/tree/master/lib/matplotlib/tests/test_axes.py,,test_stem_args$4058,"(x, y) = map(list, stem_container.markerline.get_data())","tmp_fun_0 = map(list, stem_container.markerline.get_data())
x = tmp_fun_0[0]
y = tmp_fun_0[1]
",0,0,0,1,
ReID-Survey,https://github.com/mangye16/ReID-Survey/tree/master/data/datasets/msmt17.py,MSMT17,__init__$26,"(self.num_train_pids, self.num_train_imgs, self.num_train_cams) = self.get_imagedata_info(self.train)","tmp_fun_0 = self.get_imagedata_info(self.train)
self.num_train_pids = tmp_fun_0[0]
self.num_train_imgs = tmp_fun_0[1]
self.num_train_cams = tmp_fun_0[2]
",0,0,0,1,
syncplay,https://github.com/Syncplay/syncplay/tree/master/syncplay/protocols.py,SyncClientProtocol,handleState$263,"(messageAge, latencyCalculation) = self._handleStatePing(state)","tmp_fun_0 = self._handleStatePing(state)
messageAge = tmp_fun_0[0]
latencyCalculation = tmp_fun_0[1]
",0,0,0,1,
ml4a,https://github.com/ml4a/ml4a/tree/master/ml4a/dataset/processing.py,,simplify$106,"(w, h) = (img.width, img.height)","w = img.width
h = img.height
",0,0,0,0,
joinmarket-clientserver,https://github.com/JoinMarket-Org/joinmarket-clientserver/tree/master/jmclient/jmclient/maker.py,Maker,on_tx_received$127,"(goodtx, errmsg) = self.verify_unsigned_tx(tx, offerinfo)","tmp_fun_0 = self.verify_unsigned_tx(tx, offerinfo)
goodtx = tmp_fun_0[0]
errmsg = tmp_fun_0[1]
",0,0,0,1,
tvm,https://github.com/apache/tvm/tree/master/python/tvm/topi/arm_cpu/conv2d_spatial_pack.py,,schedule_conv2d_spatial_pack_nchw$188,"(co, _, _, _, _) = s[kernel_vec].op.axis","co = s[kernel_vec].op.axis[0]
_ = s[kernel_vec].op.axis[1]
_ = s[kernel_vec].op.axis[2]
_ = s[kernel_vec].op.axis[3]
_ = s[kernel_vec].op.axis[4]
",0,0,0,0,
datashader,https://github.com/holoviz/datashader/tree/master/datashader/glyphs/line.py,,extend_cuda$1254,"(i, j) = cuda.grid(2)","tmp_fun_0 = cuda.grid(2)
i = tmp_fun_0[0]
j = tmp_fun_0[1]
",0,0,0,1,
rlpyt,https://github.com/astooke/rlpyt/tree/master/rlpyt/models/dqn/atari_catdqn_model.py,AtariCatDqnModel,__init__$28,"(c, h, w) = image_shape","c = image_shape[0]
h = image_shape[1]
w = image_shape[2]
",0,0,0,0,
azure-cli,https://github.com/Azure/azure-cli/tree/master/src/azure-cli/azure/cli/command_modules/acs/tests/latest/test_aks_commands.py,AzureKubernetesServiceScenarioTest,test_aks_create_default_setting$1203,"(fd, temp_path) = tempfile.mkstemp()","tmp_fun_0 = tempfile.mkstemp()
fd = tmp_fun_0[0]
temp_path = tmp_fun_0[1]
",0,0,0,1,
gpt-neox,https://github.com/EleutherAI/gpt-neox/tree/master/megatron/data/indexed_dataset.py,MMapIndexedDataset,__getitem__$486,"(ptr, size) = self._index[idx]","ptr = self._index[idx][0]
size = self._index[idx][1]
",0,0,0,0,
osxphotos,https://github.com/RhetTbull/osxphotos/tree/master/tests/test_cli.py,,test_export_jpeg_ext_edited_movie$6447,"(filename, ext) = fileinfo","filename = fileinfo[0]
ext = fileinfo[1]
",0,0,0,0,
hydrus,https://github.com/hydrusnetwork/hydrus/tree/master/hydrus/client/db/ClientDB.py,DB,_CacheCombinedFilesDisplayMappingsDeleteImplications$654,"(current_delta, pending_delta) = self._GetWithAndWithoutTagsFileCountCombined(tag_service_id, implication_tag_ids, remaining_implication_tag_ids)","tmp_fun_0 = self._GetWithAndWithoutTagsFileCountCombined(tag_service_id, implication_tag_ids, remaining_implication_tag_ids)
current_delta = tmp_fun_0[0]
pending_delta = tmp_fun_0[1]
",0,0,0,1,
dask,https://github.com/dask/dask/tree/master/dask/array/tests/test_creation.py,,test_meshgrid_inputcoercion$393,"(x, y) = np.meshgrid(a, b, indexing='ij')","tmp_fun_0 = np.meshgrid(a, b, indexing='ij')
x = tmp_fun_0[0]
y = tmp_fun_0[1]
",0,0,0,1,
buildbot,https://github.com/buildbot/buildbot/tree/master/master/buildbot/test/unit/steps/test_transfer.py,TestFileDownload,setUp$820,"(fd, self.destfile) = tempfile.mkstemp()","tmp_fun_0 = tempfile.mkstemp()
fd = tmp_fun_0[0]
self.destfile = tmp_fun_0[1]
",0,0,0,1,
dionaea,https://github.com/DinoTools/dionaea/tree/master/modules/python/dionaea/smb/include/asn1fields.py,ASN1F_enum_INTEGER,__init__$143,"(i2s, s2i) = (s2i, i2s)","tmp0 = i2s
i2s = s2i
s2i = tmp0
",1,0,0,0,
DSView,https://github.com/DreamSourceLab/DSView/tree/master/libsigrokdecode4DSL/decoders/ds243x/pd.py,Decoder,decode$97,"(self.ss, self.es) = (ss, es)","self.ss = ss
self.es = es
",0,0,0,0,
nilearn,https://github.com/nilearn/nilearn/tree/master/nilearn/glm/tests/test_model.py,,test_conf_int$134,"(lower_, upper_) = RESULTS.conf_int()","tmp_fun_0 = RESULTS.conf_int()
lower_ = tmp_fun_0[0]
upper_ = tmp_fun_0[1]
",0,0,0,1,
ALAE,https://github.com/podgorskiy/ALAE/tree/master/make_figures/make_recon_figure_interpolation.py,,encode$106,"(Z, _) = model.encode(x, layer_count - 1, 1)","tmp_fun_0 = model.encode(x, layer_count - 1, 1)
Z = tmp_fun_0[0]
_ = tmp_fun_0[1]
",0,0,0,1,
checkmk,https://github.com/tribe29/checkmk/tree/master/cmk/base/plugins/agent_based/utils/ps.py,,format_value$236,"(value, unit) = pvalue","value = pvalue[0]
unit = pvalue[1]
",0,0,0,0,
lingvo,https://github.com/tensorflow/lingvo/tree/master/lingvo/core/attention_test.py,AttentionTest,testLocationSensitiveAttentionQuantized$1470,"(atten_vec_out2, prob_out2, atten_init_state_out2, atten_state_out2) = self._testLocationSensitiveAttentionSameBatchSizeHelper(False, True)","tmp_fun_0 = self._testLocationSensitiveAttentionSameBatchSizeHelper(False, True)
atten_vec_out2 = tmp_fun_0[0]
prob_out2 = tmp_fun_0[1]
atten_init_state_out2 = tmp_fun_0[2]
atten_state_out2 = tmp_fun_0[3]
",0,0,0,1,
rpaframework,https://github.com/robocorp/rpaframework/tree/master/packages/windows/src/RPA/Windows/keywords/action.py,ActionKeywords,_click_element_coordinates$81,"(offset_x, offset_y) = [int(v) for v in element.item.robocorp_click_offset.split(',')]","tmp_fun_0 = [int(v) for v in element.item.robocorp_click_offset.split(',')]
offset_x = tmp_fun_0[0]
offset_y = tmp_fun_0[1]
",0,0,0,1,
