repo_name,file_html,cl,me,stmt_code,parent_code,code,complicate_code,temporary_flag,create_fun_flag,temprorary,func
baserow,https://github.com/bram2w/baserow/tree/master/backend/src/baserow/contrib/database/table/models.py,TableModelQuerySet,order_by_fields_string$136,field_object_dict = {o['field'].name: o for o in self.model._field_objects.values()},field_object_dict = {o['field'].name: o for o in self.model._field_objects.values()},field_object_dict = {o['field'].name: o for o in self.model._field_objects.values()},"field_object_dict = dict()
for o in self.model._field_objects.values():
    field_object_dict[o['field'].name] = o
",0,0,0,0
swift,https://github.com/openstack/swift/tree/master/test/unit/account/test_server.py,TestAccountController,test_GET_multichar_delimiter$1780,"self.assertEqual([{k: v for (k, v) in item.items() if k in ('subdir', 'name')} for item in json.loads(resp.body)], [{'subdir': 'US~~UT~~~'}, {'name': 'US~~UT~~A'}])","[{k: v for (k, v) in item.items() if k in ('subdir', 'name')} for item in json.loads(resp.body)]","[{k: v for (k, v) in item.items() if k in ('subdir', 'name')} for item in json.loads(resp.body)]","def my_comprehension_func(item):
    tmp_DictComp0 = dict()
    for (k, v) in item.items():
        if k in ('subdir', 'name'):
            tmp_DictComp0[k] = v
    return tmp_DictComp0
self.assertEqual([{k: v for (k, v) in item.items() if k in ('subdir', 'name')} for item in json.loads(resp.body)], [{'subdir': 'US~~UT~~~'}, {'name': 'US~~UT~~A'}])",1,1,1,1
evalml,https://github.com/alteryx/evalml/tree/master/evalml/tests/component_tests/test_standard_scaler.py,,test_standard_scaler_woodwork_custom_overrides_returned_by_components$17,"assert {k: type(v) for (k, v) in transformed.ww.logical_types.items()} == {0: Double}","{k: type(v) for (k, v) in transformed.ww.logical_types.items()} == {0: Double}","{k: type(v) for (k, v) in transformed.ww.logical_types.items()} == {0: Double}","tmp_DictComp0 = dict()
for (k, v) in transformed.ww.logical_types.items():
    tmp_DictComp0[k] = type(v)
assert tmp_DictComp0 == {0: Double}",1,0,1,0
fiftyone,https://github.com/voxel51/fiftyone/tree/master/fiftyone/core/dataset.py,,_merge_samples_pipeline$6854,"frame_fields = {k: v for (k, v) in frame_fields.items() if k not in omit_frame_fields}","frame_fields = {k: v for (k, v) in frame_fields.items() if k not in omit_frame_fields}","frame_fields = {k: v for (k, v) in frame_fields.items() if k not in omit_frame_fields}","tmp_DictComp0 = dict()
for (k, v) in frame_fields.items():
    if k not in omit_frame_fields:
        tmp_DictComp0[k] = v
frame_fields = tmp_DictComp0",1,0,1,0
PettingZoo,https://github.com/Farama-Foundation/PettingZoo/tree/master/pettingzoo/classic/hanabi/hanabi.py,raw_env,__init__$231,self.action_spaces = {name: spaces.Discrete(self.hanabi_env.num_moves()) for name in self.agents},self.action_spaces = {name: spaces.Discrete(self.hanabi_env.num_moves()) for name in self.agents},self.action_spaces = {name: spaces.Discrete(self.hanabi_env.num_moves()) for name in self.agents},"tmp_DictComp0 = dict()
for name in self.agents:
    tmp_DictComp0[name] = spaces.Discrete(self.hanabi_env.num_moves())
self.action_spaces = tmp_DictComp0",1,0,1,0
mindmeld,https://github.com/cisco/mindmeld/tree/master/mindmeld/path.py,,get_labeled_query_tree$232,found_pattern = {pattern: False for pattern in patterns} if patterns else {},{pattern: False for pattern in patterns} if patterns else {},{pattern: False for pattern in patterns} if patterns else {},"def my_comprehension_func(patterns):
    tmp_DictComp0 = dict()
    for pattern in patterns:
        tmp_DictComp0[pattern] = False
    return tmp_DictComp0
found_pattern = my_comprehension_func(patterns) if patterns else {}",1,1,1,1
cloud-inquisitor,https://github.com/RiotGames/cloud-inquisitor/tree/master/backend/cloud_inquisitor/data/migrations/versions/cfb0ed4cced9_new_accounts_table.py,,migrate_data$84,account_types = {x['account_type']: x['account_type_id'] for x in conn.execute(text(select_acct_types))},account_types = {x['account_type']: x['account_type_id'] for x in conn.execute(text(select_acct_types))},account_types = {x['account_type']: x['account_type_id'] for x in conn.execute(text(select_acct_types))},"account_types = dict()
for x in conn.execute(text(select_acct_types)):
    account_types[x['account_type']] = x['account_type_id']
",0,0,0,0
taiga-back,https://github.com/taigaio/taiga-back/tree/master/taiga/export_import/services/store.py,,store_epic$485,statuses = {s.name: s.id for s in project.epic_statuses.all()},statuses = {s.name: s.id for s in project.epic_statuses.all()},statuses = {s.name: s.id for s in project.epic_statuses.all()},"statuses = dict()
for s in project.epic_statuses.all():
    statuses[s.name] = s.id
",0,0,0,0
awslambda-psycopg2,https://github.com/jkehler/awslambda-psycopg2/tree/master/with_ssl_support/psycopg2-3.7/extensions.py,,make_dsn$145,"kwargs = {k: v for (k, v) in kwargs.items() if v is not None}","kwargs = {k: v for (k, v) in kwargs.items() if v is not None}","kwargs = {k: v for (k, v) in kwargs.items() if v is not None}","tmp_DictComp0 = dict()
for (k, v) in kwargs.items():
    if v is not None:
        tmp_DictComp0[k] = v
kwargs = tmp_DictComp0",1,0,1,0
edx-platform,https://github.com/edx/edx-platform/tree/master/lms/djangoapps/program_enrollments/management/commands/migrate_saml_uids.py,Command,handle$68,"email_map = {m['email']: {'uid': m['student_key'], 'updated': False, 'counted': False} for m in uid_mappings}","email_map = {m['email']: {'uid': m['student_key'], 'updated': False, 'counted': False} for m in uid_mappings}","email_map = {m['email']: {'uid': m['student_key'], 'updated': False, 'counted': False} for m in uid_mappings}","email_map = dict()
for m in uid_mappings:
    email_map[m['email']] = {'uid': m['student_key'], 'updated': False, 'counted': False}
",0,0,0,0
holoviews,https://github.com/holoviz/holoviews/tree/master/holoviews/tests/plotting/matplotlib/test_spikeplot.py,TestSpikesPlot,test_op_ndoverlay_value$178,"overlay = NdOverlay({color: Spikes(np.arange(i + 2)) for (i, color) in enumerate(colors)}, 'Color').opts('Spikes', color='Color')","NdOverlay({color: Spikes(np.arange(i + 2)) for (i, color) in enumerate(colors)}, 'Color')","NdOverlay({color: Spikes(np.arange(i + 2)) for (i, color) in enumerate(colors)}, 'Color')","tmp_DictComp0 = dict()
for (i, color) in enumerate(colors):
    tmp_DictComp0[color] = Spikes(np.arange(i + 2))
overlay = NdOverlay(tmp_DictComp0, 'Color').opts('Spikes', color='Color')",1,0,1,0
fklearn,https://github.com/nubank/fklearn/tree/master/src/fklearn/training/transformation.py,,custom_transformer$892,return df.assign(**{col: df[col].swifter.apply(transformation_function) for col in columns_to_transform}),**{col: df[col].swifter.apply(transformation_function) for col in columns_to_transform},**{col: df[col].swifter.apply(transformation_function) for col in columns_to_transform},"def my_comprehension_func(df):
    tmp_DictComp0 = dict()
    for col in columns_to_transform:
        tmp_DictComp0[col] = df[col].swifter.apply(transformation_function)
    return tmp_DictComp0
return df.assign(**my_comprehension_func(df))",1,1,1,0
jax,https://github.com/google/jax/tree/master/jax/interpreters/masking.py,Poly,__neg__$164,"return Poly({mon: -coeff for (mon, coeff) in self.items()})","Poly({mon: -coeff for (mon, coeff) in self.items()})","Poly({mon: -coeff for (mon, coeff) in self.items()})","tmp_DictComp0 = dict()
for (mon, coeff) in self.items():
    tmp_DictComp0[mon] = -coeff
return Poly(tmp_DictComp0)",1,0,1,0
dask,https://github.com/dask/dask/tree/master/dask/dataframe/io/tests/test_parquet.py,,test_drill_scheme$1853,"df1 = pd.DataFrame({c: np.random.random(N) for (i, c) in enumerate(['a', 'b', 'c'])})","pd.DataFrame({c: np.random.random(N) for (i, c) in enumerate(['a', 'b', 'c'])})","pd.DataFrame({c: np.random.random(N) for (i, c) in enumerate(['a', 'b', 'c'])})","tmp_DictComp0 = dict()
for (i, c) in enumerate(['a', 'b', 'c']):
    tmp_DictComp0[c] = np.random.random(N)
df1 = pd.DataFrame(tmp_DictComp0)",1,0,1,0
MonkeyType,https://github.com/Instagram/MonkeyType/tree/master/monkeytype/encoding.py,,typed_dict_from_dict$95,"return TypedDict(d['qualname'], {k: type_from_dict(v) for (k, v) in d['elem_types'].items()})","TypedDict(d['qualname'], {k: type_from_dict(v) for (k, v) in d['elem_types'].items()})","TypedDict(d['qualname'], {k: type_from_dict(v) for (k, v) in d['elem_types'].items()})","def my_comprehension_func(d):
    tmp_DictComp0 = dict()
    for (k, v) in d['elem_types'].items():
        tmp_DictComp0[k] = type_from_dict(v)
    return tmp_DictComp0
return TypedDict(d['qualname'], my_comprehension_func(d))",1,1,1,0
holoviews,https://github.com/holoviz/holoviews/tree/master/holoviews/tests/plotting/bokeh/test_overlayplot.py,TestOverlayPlot,test_points_errorbars_text_ndoverlay_categorical_xaxis$174,"overlay = NdOverlay({i: Points(([chr(65 + i)] * 10, np.random.randn(10))) for i in range(5)})","NdOverlay({i: Points(([chr(65 + i)] * 10, np.random.randn(10))) for i in range(5)})","NdOverlay({i: Points(([chr(65 + i)] * 10, np.random.randn(10))) for i in range(5)})","tmp_DictComp0 = dict()
for i in range(5):
    tmp_DictComp0[i] = Points(([chr(65 + i)] * 10, np.random.randn(10)))
overlay = NdOverlay(tmp_DictComp0)",1,0,1,0
sacred,https://github.com/IDSIA/sacred/tree/master/sacred/config/utils.py,,dogmatize$120,"return DogmaticDict({key: dogmatize(val) for (key, val) in obj.items()})","DogmaticDict({key: dogmatize(val) for (key, val) in obj.items()})","DogmaticDict({key: dogmatize(val) for (key, val) in obj.items()})","tmp_DictComp0 = dict()
for (key, val) in obj.items():
    tmp_DictComp0[key] = dogmatize(val)
return DogmaticDict(tmp_DictComp0)",1,0,1,0
scipy,https://github.com/scipy/scipy/tree/master/scipy/cluster/tests/test_disjoint_set.py,,test_subsets$182,expected = {dis[element]: set() for element in dis},expected = {dis[element]: set() for element in dis},expected = {dis[element]: set() for element in dis},"expected = dict()
for element in dis:
    expected[dis[element]] = set()
",0,0,0,0
mimicry,https://github.com/kwotsin/mimicry/tree/master/torch_mimicry/datasets/imagenet/imagenet.py,ImageNet,__init__$43,"self.class_to_idx = {cls: idx for (idx, clss) in enumerate(self.classes) for cls in clss}","self.class_to_idx = {cls: idx for (idx, clss) in enumerate(self.classes) for cls in clss}","self.class_to_idx = {cls: idx for (idx, clss) in enumerate(self.classes) for cls in clss}","tmp_DictComp0 = dict()
for (idx, clss) in enumerate(self.classes):
    for cls in clss:
        tmp_DictComp0[cls] = idx
self.class_to_idx = tmp_DictComp0",1,0,1,0
