repo_name,file_html,cl,me,complicate_code,simple_code
news-please,https://github.com/fhamborg/news-please/tree/master/newsplease/pipeline/extractor/comparer/comparer_title.py,ComparerTitle,find_matches$7,"for (a, b) in itertools.combinations(list_title, 2):
    if a == b:
        list_title_matches.append(a)","for e_target in itertools.combinations(list_title, 2):
    b = e_target[1]
    a = e_target[0]
    if a == b:
        list_title_matches.append(a)"
uvicorn,https://github.com/encode/uvicorn/tree/master/uvicorn/protocols/http/h11_impl.py,H11Protocol,handle_events$133,"for (name, value) in self.headers:
    if name == b'connection':
        tokens = [token.lower().strip() for token in value.split(b',')]
        if b'upgrade' in tokens:
            self.handle_upgrade(event)
            return","for e_target in self.headers:
    value = e_target[1]
    name = e_target[0]
    if name == b'connection':
        tokens = [token.lower().strip() for token in value.split(b',')]
        if b'upgrade' in tokens:
            self.handle_upgrade(event)
            return"
Basic_CNNs_TensorFlow2,https://github.com/calmisential/Basic_CNNs_TensorFlow2/tree/master//show_model_list.py,,if_main_my$3,"for (model_name, i) in get_model2idx_dict().items():
    print('MODEL: {}, INDEX: {}'.format(model_name, i))
    f.write('{}: {}\n'.format(model_name, i))","for e_target in get_model2idx_dict().items():
    i = e_target[1]
    model_name = e_target[0]
    print('MODEL: {}, INDEX: {}'.format(model_name, i))
    f.write('{}: {}\n'.format(model_name, i))"
moto,https://github.com/spulec/moto/tree/master/moto/core/responses.py,BaseResponse,_parse_param$637,"for (i, key) in enumerate(keylist[:-1]):
    if key in obj:
        parent = obj
        obj = obj[key]
    elif key == 'member':
        if not isinstance(obj, list):
            obj = []
            parent[keylist[i - 1]] = obj
    elif key.isdigit():
        index = int(key) - 1
        if len(obj) <= index:
            obj.insert(index, {})
        parent = obj
        obj = obj[index]
    else:
        obj[key] = {}
        parent = obj
        obj = obj[key]","for e_target in enumerate(keylist[:-1]):
    key = e_target[1]
    i = e_target[0]
    if key in obj:
        parent = obj
        obj = obj[key]
    elif key == 'member':
        if not isinstance(obj, list):
            obj = []
            parent[keylist[i - 1]] = obj
    elif key.isdigit():
        index = int(key) - 1
        if len(obj) <= index:
            obj.insert(index, {})
        parent = obj
        obj = obj[index]
    else:
        obj[key] = {}
        parent = obj
        obj = obj[key]"
SFA3D,https://github.com/maudzung/SFA3D/tree/master/sfa/utils/lr_scheduler.py,OneCyclePolicy,__init__$272,"for (i, g) in enumerate(optimizer.param_groups):
    g['momentum'] = momentum_rng[1]","for e_target in enumerate(optimizer.param_groups):
    g = e_target[1]
    i = e_target[0]
    g['momentum'] = momentum_rng[1]"
checkmk,https://github.com/tribe29/checkmk/tree/master/omd/license_sources/update_licenses.py,,update_js_dependencies$431,"for (key, data) in license_json.items():
    if key in old_pkg_keys:
        continue
    name = re.sub('@[^@]*$', '', key)
    version = re.sub('^.+@', '', key)
    license_ = data['licenses']
    license_link = license_links[license_] if license_ in license_links else ''
    rows.append([name, version, license_, license_link, ''])","for e_target in license_json.items():
    data = e_target[1]
    key = e_target[0]
    if key in old_pkg_keys:
        continue
    name = re.sub('@[^@]*$', '', key)
    version = re.sub('^.+@', '', key)
    license_ = data['licenses']
    license_link = license_links[license_] if license_ in license_links else ''
    rows.append([name, version, license_, license_link, ''])"
keras,https://github.com/keras-team/keras/tree/master/keras/saving/saved_model_experimental.py,,_create_signature_def_map$322,"for (key, value) in metrics.items():
    if isinstance(value, metrics_lib.Metric):
        vars_to_add.update(value.variables)
        metrics[key] = (value.result(), value.updates[0])","for e_target in metrics.items():
    value = e_target[1]
    key = e_target[0]
    if isinstance(value, metrics_lib.Metric):
        vars_to_add.update(value.variables)
        metrics[key] = (value.result(), value.updates[0])"
Malcolm,https://github.com/cisagov/Malcolm/tree/master/shared/bin/beat-log-temperature.py,,main$23,"for (k, v) in metric_class_values.items():
    message[f'{k}_avg'] = reduce(lambda a, b: a + b, v) / len(v)","for e_target in metric_class_values.items():
    v = e_target[1]
    k = e_target[0]
    message[f'{k}_avg'] = reduce(lambda a, b: a + b, v) / len(v)"
tmuxp,https://github.com/tmux-python/tmuxp/tree/master/tmuxp/workspacebuilder.py,WorkspaceBuilder,iter_create_panes$292,"for (pindex, pconf) in enumerate(wconf['panes'], start=pane_base_index):
    if pindex == int(pane_base_index):
        p = w.attached_pane
    else:

        def get_pane_start_directory():
            if 'start_directory' in pconf:
                return pconf['start_directory']
            elif 'start_directory' in wconf:
                return wconf['start_directory']
            else:
                return None
        p = w.split_window(attach=True, start_directory=get_pane_start_directory(), target=p.id)
    assert isinstance(p, Pane)
    if 'layout' in wconf:
        w.select_layout(wconf['layout'])
    if 'suppress_history' in pconf:
        suppress = pconf['suppress_history']
    elif 'suppress_history' in wconf:
        suppress = wconf['suppress_history']
    else:
        suppress = True
    for cmd in pconf['shell_command']:
        p.send_keys(cmd, suppress_history=suppress)
    if 'focus' in pconf and pconf['focus']:
        w.select_pane(p['pane_id'])
    w.server._update_panes()
    yield (p, pconf)","for e_target in enumerate(wconf['panes'], start=pane_base_index):
    pconf = e_target[1]
    pindex = e_target[0]
    if pindex == int(pane_base_index):
        p = w.attached_pane
    else:

        def get_pane_start_directory():
            if 'start_directory' in pconf:
                return pconf['start_directory']
            elif 'start_directory' in wconf:
                return wconf['start_directory']
            else:
                return None
        p = w.split_window(attach=True, start_directory=get_pane_start_directory(), target=p.id)
    assert isinstance(p, Pane)
    if 'layout' in wconf:
        w.select_layout(wconf['layout'])
    if 'suppress_history' in pconf:
        suppress = pconf['suppress_history']
    elif 'suppress_history' in wconf:
        suppress = wconf['suppress_history']
    else:
        suppress = True
    for cmd in pconf['shell_command']:
        p.send_keys(cmd, suppress_history=suppress)
    if 'focus' in pconf and pconf['focus']:
        w.select_pane(p['pane_id'])
    w.server._update_panes()
    yield (p, pconf)"
AIGames,https://github.com/CharlesPikachu/AIGames/tree/master/AIGobang/Algorithm_1/modules/online/server.py,gobangSever,responseForReceiveData$167,"for (i, j) in product(range(19), range(19)):
    if self.chessboard[i][j]:
        self.chessboard[i][j].close()
        self.chessboard[i][j] = None","for e_target in product(range(19), range(19)):
    j = e_target[1]
    i = e_target[0]
    if self.chessboard[i][j]:
        self.chessboard[i][j].close()
        self.chessboard[i][j] = None"
