repo_name,file_html,cl,me,code,complicate_code,has_break,,
flask-admin,https://github.com/flask-admin/flask-admin/tree/master/flask_admin/contrib/sqla/form.py,InlineModelConverter,_calculate_mapping_key_pair$644,"for prop in mapper.iterate_properties:
    if hasattr(prop, 'direction') and prop.direction.name == candidate:
        if prop.mapper.class_ == target_mapper.class_:
            forward_prop = prop
            break
else:
    raise Exception('Cannot find forward relation for model %s' % info.model)","flag_else = 1

for prop in mapper.iterate_properties:
    if hasattr(prop, 'direction') and prop.direction.name == candidate:
        if prop.mapper.class_ == target_mapper.class_:
            forward_prop = prop
            flag_else = 0
            break
if flag_else:
    raise Exception('Cannot find forward relation for model %s' % info.model)",1,FALSE,
mutagen,https://github.com/quodlibet/mutagen/tree/master/mutagen/mp4/_atom.py,Atoms,__getitem__$174,"for child in self.atoms:
    if child.name == names[0]:
        return child[names[1:]]
else:
    raise KeyError('%r not found' % names[0])","for child in self.atoms:
    if child.name == names[0]:
        return child[names[1:]]

raise KeyError('%r not found' % names[0])
",0,TRUE,
veusz,https://github.com/veusz/veusz/tree/master/veusz/windows/mainwindow.py,MainWindow,definePlugins$378,"for c in menulook:
    if c[0] == name:
        menulook = c[2]
        break
else:
    menulook.append([name, cmpt, []])
    menulook = menulook[-1][2]","flag_else = 1

for c in menulook:
    if c[0] == name:
        menulook = c[2]
        flag_else = 0
        break
if flag_else:
    menulook.append([name, cmpt, []])
    menulook = menulook[-1][2]",1,FALSE,
github3.py,https://github.com/sigmavirus24/github3.py/tree/master/tests/integration/test_pulls.py,TestPullFile,get_pull_request_file$225,"for pull_file in p.files():
    if pull_file.filename == filename:
        break
else:
    assert False, f""Could not find '{filename}'""","flag_else = 1

for pull_file in p.files():
    if pull_file.filename == filename:
        flag_else = 0
        break
if flag_else:
    assert False, f""Could not find '{filename}'""",1,FALSE,
rope,https://github.com/python-rope/rope/tree/master/ropetest/refactor/patchedasttest.py,_ResultChecker,check_children$1390,"for goal in goals:
    if goal == '' or isinstance(child, basestring):
        self.test_case.assertEqual(goal, child)
        break
else:
    self.test_case.assertNotEqual('', text, 'probably ignoring some node')
    if sys.version_info >= (3, 8) and expected in ['Num', 'Str', 'NameConstant', 'Ellipsis']:
        expected = 'Constant'
    self.test_case.assertTrue(child.__class__.__name__.startswith(expected), msg='Expected <%s> but was <%s>' % (expected, child.__class__.__name__))","flag_else = 1

for goal in goals:
    if goal == '' or isinstance(child, basestring):
        self.test_case.assertEqual(goal, child)
        flag_else = 0
        break
if flag_else:
    self.test_case.assertNotEqual('', text, 'probably ignoring some node')
    if sys.version_info >= (3, 8) and expected in ['Num', 'Str', 'NameConstant', 'Ellipsis']:
        expected = 'Constant'
    self.test_case.assertTrue(child.__class__.__name__.startswith(expected), msg='Expected <%s> but was <%s>' % (expected, child.__class__.__name__))",1,FALSE,
pyOCD,https://github.com/pyocd/pyOCD/tree/master/pyocd/coresight/dap.py,DebugPort,power_down_debug$470,"while time_out.check():
    r = self.read_reg(DP_CTRL_STAT)
    if r & (CDBGPWRUPACK | CSYSPWRUPACK) == CDBGPWRUPACK:
        break
else:
    return False","flag_else = 1

while time_out.check():
    r = self.read_reg(DP_CTRL_STAT)
    if r & (CDBGPWRUPACK | CSYSPWRUPACK) == CDBGPWRUPACK:
        flag_else = 0
        break
if flag_else:
    return False",1,FALSE,
cobbler,https://github.com/cobbler/cobbler/tree/master/cobbler/modules/managers/import_signatures.py,_ImportSignatureManager,scan_signatures$274,"for line in vf_lines:
    if vf_re.match(line):
        break
else:
    continue","flag_else = 1

for line in vf_lines:
    if vf_re.match(line):
        flag_else = 0
        break
if flag_else:
    continue",1,FALSE,
mindsdb,https://github.com/mindsdb/mindsdb/tree/master/tests/integration_tests/flows/test_redis.py,RedisTest,test_8_test_online_learning$225,"while time.time() - start_time < 300:
    time.sleep(5)
    res = list(stream_out.read())
    if res and res[0]['status'] == 'success':
        break
else:
    raise Exception('Create predictor timeout')","flag_else = 1

while time.time() - start_time < 300:
    time.sleep(5)
    res = list(stream_out.read())
    if res and res[0]['status'] == 'success':
        flag_else = 0
        break
if flag_else:
    raise Exception('Create predictor timeout')",1,FALSE,
slam-mirrorbot,https://github.com/breakdowns/slam-mirrorbot/tree/master/bot/helper/telegram_helper/filters.py,_MirrorOwner,filter$33,"for (message_id, status) in download_dict.items():
    if status.gid() == args[1] and status.message.from_user.id == user_id:
        return True
else:
    return False","for (message_id, status) in download_dict.items():
    if status.gid() == args[1] and status.message.from_user.id == user_id:
        return True

return False
",0,TRUE,
meshio,https://github.com/nschloe/meshio/tree/master/src/meshio/gmsh/common.py,,_fast_forward_to_end_block$12,"for line in f:
    try:
        line = line.decode()
    except UnicodeDecodeError:
        pass
    if line.strip() == f'$End{block}':
        break
else:
    logging.warning(f'${block} not closed by $End{block}.')","flag_else = 1

for line in f:
    try:
        line = line.decode()
    except UnicodeDecodeError:
        pass
    if line.strip() == f'$End{block}':
        flag_else = 0
        break
if flag_else:
    logging.warning(f'${block} not closed by $End{block}.')",1,FALSE,
