repo_name,file_html,cl,me,stmt_code,parent_code,code,complicate_code,temporary_flag,create_fun_flag,tempor,func
cartography,https://github.com/lyft/cartography/tree/master/tests/integration/cartography/intel/azure/test_storage.py,,test_load_table_services$144,actual_nodes = {n['r.id'] for n in nodes},actual_nodes = {n['r.id'] for n in nodes},actual_nodes = {n['r.id'] for n in nodes},"actual_nodes = set()
for n in nodes:
    actual_nodes.add(n['r.id'])
",0,0,0,0
thorn,https://github.com/robinhood/thorn/tree/master/thorn/conf.py,,all_settings$133,return {n for n in dir(Settings) if n.isupper() and (not n.startswith('__'))},return {n for n in dir(Settings) if n.isupper() and (not n.startswith('__'))},return {n for n in dir(Settings) if n.isupper() and (not n.startswith('__'))},"tmp_SetComp0 = set()
for n in dir(Settings):
    if n.isupper() and (not n.startswith('__')):
        tmp_SetComp0.add(n)
return tmp_SetComp0",1,0,1,0
indico,https://github.com/indico/indico/tree/master/indico/modules/events/editing/schemas.py,EditingReviewConditionArgs,_validate_file_types$397,event_file_types = {ft.id for ft in event.editing_file_types},event_file_types = {ft.id for ft in event.editing_file_types},event_file_types = {ft.id for ft in event.editing_file_types},"event_file_types = set()
for ft in event.editing_file_types:
    event_file_types.add(ft.id)
",0,0,0,0
networkx,https://github.com/networkx/networkx/tree/master/networkx/algorithms/approximation/clique.py,,large_clique_size$167,N_prime = {v for v in G[u] if degrees[v] >= best_size},N_prime = {v for v in G[u] if degrees[v] >= best_size},N_prime = {v for v in G[u] if degrees[v] >= best_size},"N_prime = set()
for v in G[u]:
    if degrees[v] >= best_size:
        N_prime.add(v)
",0,0,0,0
mypy,https://github.com/python/mypy/tree/master/mypy/dmypy_server.py,Server,cmd_recheck$342,known = {s.path for s in sources if s.path},known = {s.path for s in sources if s.path},known = {s.path for s in sources if s.path},"known = set()
for s in sources:
    if s.path:
        known.add(s.path)
",0,0,0,0
trax,https://github.com/google/trax/tree/master/trax/data/text_encoder.py,SubwordTextEncoder,_init_alphabet_from_tokens$907,self._alphabet = {c for token in tokens for c in token},self._alphabet = {c for token in tokens for c in token},self._alphabet = {c for token in tokens for c in token},"self._alphabet = set()
for token in tokens:
    for c in token:
        self._alphabet.add(c)
",0,0,0,0
hummingbot,https://github.com/CoinAlpha/hummingbot/tree/master/test/connector/exchange/ascend_ex/test_ascend_ex_exchange.py,AscendExExchangeUnitTest,test_cancel_all$259,"self.assertEqual({buy_id, sell_id}, {o.order_id for o in cancel_events})","self.assertEqual({buy_id, sell_id}, {o.order_id for o in cancel_events})","self.assertEqual({buy_id, sell_id}, {o.order_id for o in cancel_events})","tmp_SetComp0 = set()
for o in cancel_events:
    tmp_SetComp0.add(o.order_id)
self.assertEqual({buy_id, sell_id}, tmp_SetComp0)",1,0,1,0
retopoflow,https://github.com/CGCookie/retopoflow/tree/master/retopoflow/rfmesh/rfmesh.py,RFMesh,get_hidden_edges$976,return {self._wrap_bmedge(bme) for bme in self.bme.edges if bme.is_valid and bme.hide},return {self._wrap_bmedge(bme) for bme in self.bme.edges if bme.is_valid and bme.hide},return {self._wrap_bmedge(bme) for bme in self.bme.edges if bme.is_valid and bme.hide},"tmp_SetComp0 = set()
for bme in self.bme.edges:
    if bme.is_valid and bme.hide:
        tmp_SetComp0.add(self._wrap_bmedge(bme))
return tmp_SetComp0",1,0,1,0
espresso,https://github.com/freewym/espresso/tree/master/examples/speech_synthesis/preprocessing/get_feature_manifest.py,,process$36,speakers = sorted({sample['speaker'] for sample in samples}),sorted({sample['speaker'] for sample in samples}),sorted({sample['speaker'] for sample in samples}),"tmp_SetComp0 = set()
for sample in samples:
    tmp_SetComp0.add(sample['speaker'])
speakers = sorted(tmp_SetComp0)",1,0,1,0
soynlp,https://github.com/lovit/soynlp/tree/master/soynlp/pos/_adverb.py,,load_default_adverbs$3,words = {word.strip().split()[0] for word in f},words = {word.strip().split()[0] for word in f},words = {word.strip().split()[0] for word in f},"words = set()
for word in f:
    words.add(word.strip().split()[0])
",0,0,0,0
